"id","artistId","createdAt"
3,2,"2023-08-25 11:49:49.758129"
4,4,"2023-08-26 09:45:42.346731"
5,1,"2023-08-26 11:22:24.162294"
6,1,"2023-08-26 11:23:01.185785"
7,1,"2023-08-26 11:23:36.010169"
8,1,"2023-08-26 11:25:12.686544"
9,1,"2023-08-26 11:26:02.522355"
10,2,"2023-08-26 12:26:06.275597"
11,2,"2023-08-26 12:32:12.237370"
12,3,"2023-08-26 13:44:05.460845"
13,3,"2023-08-26 13:44:23.546568"
14,3,"2023-08-26 13:47:20.850151"
15,4,"2023-08-26 15:01:39.948572"
16,4,"2023-08-26 15:02:25.630838"
17,5,"2023-08-26 16:23:06.416268"
18,7,"2023-08-26 18:46:12.821729"
19,7,"2023-08-26 18:46:28.926076"
20,7,"2023-08-26 18:48:10.815921"
21,7,"2023-08-26 18:51:56.100985"
22,8,"2023-08-26 19:56:29.417136"
23,9,"2023-08-26 21:22:26.113114"
24,10,"2023-08-26 21:43:16.637453"
25,10,"2023-08-26 21:43:46.051658"
26,9,"2023-08-26 21:44:05.675723"
27,9,"2023-08-26 21:45:06.359384"
